OrderID,DateKey,CustomerID,ProductID,SellerID,Quantity,UnitPrice,Discount,Tax,ShippingCost,GrossAmount,DiscountedAmount,NetAmount,TotalAmount,PaymentMethod,OrderStatus
ORD0000001,20230131,CUST001504,P00014,SELL01967,3,106.59,0.0,0.0,0.09,319.77,0.0,319.77,319.86,Debit Card,Delivered
ORD0000002,20231230,CUST000178,P00040,SELL01298,1,251.37,0.05,19.1,1.74,251.37,12.57,238.8,259.64,Amazon Pay,Delivered
ORD0000003,20220510,CUST047516,P00044,SELL00908,3,35.03,0.1,7.57,5.91,105.09,10.51,94.58,108.06,Debit Card,Delivered
ORD0000004,20230718,CUST030059,P00041,SELL01164,5,33.58,0.15,11.42,5.53,167.9,25.18,142.72,159.66,Cash on Delivery,Delivered
ORD0000005,20230204,CUST048677,P00029,SELL01411,2,515.64,0.25,38.67,9.23,1031.28,257.82,773.46,821.36,Credit Card,Cancelled
ORD0000006,20221231,CUST042705,P00023,SELL01494,4,449.73,0.0,215.87,2.74,1798.92,0.0,1798.92,2017.53,UPI,Delivered
ORD0000007,20240920,CUST037667,P00030,SELL01676,2,219.81,0.2,28.14,14.97,439.62,87.92,351.7,394.81,UPI,Delivered
ORD0000008,20221110,CUST031165,P00028,SELL00510,2,306.51,0.05,29.12,6.24,613.02,30.65,582.37,617.73,Debit Card,Pending
ORD0000009,20240626,CUST026965,P00031,SELL01895,4,146.09,0.0,46.75,7.03,584.36,0.0,584.36,638.14,Debit Card,Delivered
ORD0000010,20200501,CUST029472,P00001,SELL01584,2,278.21,0.1,60.09,4.88,556.42,55.64,500.78,565.75,Credit Card,Delivered
ORD0000011,20210411,CUST005346,P00046,SELL01217,1,141.42,0.05,6.72,9.7,141.42,7.07,134.35,150.77,Amazon Pay,Delivered
ORD0000012,20230523,CUST046088,P00042,SELL01160,5,346.56,0.05,131.69,13.38,1732.8,86.64,1646.16,1791.23,Credit Card,Shipped
